Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CISS_WTmouse03_affine),Image stdev (CISS_WTmouse03_affine),Image mean (DCE_WTmouse03_affine [0]),Image stdev (DCE_WTmouse03_affine [0]),Image mean (DCE_WTmouse03_affine [1]),Image stdev (DCE_WTmouse03_affine [1]),Image mean (DCE_WTmouse03_affine [2]),Image stdev (DCE_WTmouse03_affine [2]),Image mean (DCE_WTmouse03_affine [3]),Image stdev (DCE_WTmouse03_affine [3]),Image mean (DCE_WTmouse03_affine [4]),Image stdev (DCE_WTmouse03_affine [4]),Image mean (DCE_WTmouse03_affine [5]),Image stdev (DCE_WTmouse03_affine [5]),Image mean (DCE_WTmouse03_affine [6]),Image stdev (DCE_WTmouse03_affine [6]),Image mean (DCE_WTmouse03_affine [7]),Image stdev (DCE_WTmouse03_affine [7]),Image mean (DCE_WTmouse03_affine [8]),Image stdev (DCE_WTmouse03_affine [8]),Image mean (DCE_WTmouse03_affine [9]),Image stdev (DCE_WTmouse03_affine [9]),Image mean (DCE_WTmouse03_affine [10]),Image stdev (DCE_WTmouse03_affine [10]),Image mean (DCE_WTmouse03_affine [11]),Image stdev (DCE_WTmouse03_affine [11]),Image mean (DCE_WTmouse03_affine [12]),Image stdev (DCE_WTmouse03_affine [12]),Image mean (DCE_WTmouse03_affine [13]),Image stdev (DCE_WTmouse03_affine [13]),Image mean (DCE_WTmouse03_affine [14]),Image stdev (DCE_WTmouse03_affine [14]),Image mean (DCE_WTmouse03_affine [15]),Image stdev (DCE_WTmouse03_affine [15]),Image mean (DCE_WTmouse03_affine [16]),Image stdev (DCE_WTmouse03_affine [16]),Image mean (DCE_WTmouse03_affine [17]),Image stdev (DCE_WTmouse03_affine [17]),Image mean (DCE_WTmouse03_affine [18]),Image stdev (DCE_WTmouse03_affine [18]),Image mean (DCE_WTmouse03_affine [19]),Image stdev (DCE_WTmouse03_affine [19]),Image mean (DCE_WTmouse03_affine [20]),Image stdev (DCE_WTmouse03_affine [20]),Image mean (DCE_WTmouse03_affine [21]),Image stdev (DCE_WTmouse03_affine [21]),Image mean (DCE_WTmouse03_affine [22]),Image stdev (DCE_WTmouse03_affine [22])
0,Clear Label,5897877,5897.88,0.0232751,0.019099,12.1101,7.81442,11.7872,7.80652,11.5536,7.87352,20.1326,15.527,20.134,16.1165,19.9547,16.6621,18.9277,16.7956,18.8597,17.2383,19.573,17.8232,20.6709,18.6106,21.0251,18.8463,21.197,18.9679,18.6361,17.6572,18.5029,17.4367,18.2736,17.3324,18.5812,17.4915,18.8317,17.5307,18.9119,17.3442,18.2266,16.8205,18.4146,16.9476,19.2492,17.2079,19.5409,17.3581,19.7643,17.3157
1,parenchyma 1,48,0.048,0.0387521,0.00445583,8.11964,3.52175,13.905,5.12951,11.4997,3.48272,21.3616,7.12844,14.2309,6.1378,28.6383,10.9229,56.1376,14.9813,71.9471,22.2469,82.3446,16.3288,88.0374,17.0992,89.9188,18.9317,96.4374,15.0196,88.8872,11.9459,83.4527,12.3361,78.3681,14.8067,77.2542,12.4012,63.7824,12.6643,65.5256,12.2144,59.2766,8.12653,55.2075,12.2411,56.4719,9.98443,59.3702,14.8734,56.6145,8.08236
2,parenchyma 2,48,0.048,0.0404796,0.0040988,8.65676,4.55742,10.5945,3.78303,11.5433,3.94609,17.2018,5.48021,45.745,22.9444,95.221,26.1175,123.015,18.996,129.442,18.8486,135.914,16.0085,131.598,17.0854,135.385,11.0912,130.541,10.0696,114.558,11.6062,112.905,10.6145,106.534,10.8816,103.721,10.3265,89.9663,11.3078,91.3778,9.59422,82.03,11.5764,79.0831,10.4462,79.6458,9.34705,80.7377,6.60072,80.4711,11.4865
3,parenchyma 3,48,0.048,0.0431168,0.00466297,13.9878,5.14404,5.74765,2.91384,9.37424,3.8481,26.0129,14.222,124.25,26.4888,152.906,17.198,156.798,12.883,153.805,13.3256,154.411,11.3784,150.581,13.711,145.111,15.9172,136.523,10.2726,130.097,12.9669,123.56,9.2936,118.147,9.77595,113.356,12.6323,106.254,9.42458,100.227,9.24388,95.8262,11.0648,83.5267,8.94181,82.5127,7.96126,78.2789,9.34201,86.2697,8.63061
4,parenchyma 4,48,0.048,0.0454529,0.00434257,9.82266,3.72363,9.46245,2.96977,7.43941,3.57173,51.0702,30.7353,147.907,21.8731,170.326,15.8753,175.916,13.9806,173.344,14.7617,175.578,15.1538,168.168,13.6686,160.289,12.574,155.77,14.7008,136.458,12.4085,132.303,13.6023,133.589,12.3922,129.116,13.2656,121.508,10.5126,115.427,12.4616,110.816,8.84224,105.301,12.782,104.642,11.7117,101.89,10.1014,101.731,13.3118
5,parenchyma 5,48,0.048,0.0434032,0.00440487,12.8264,3.32393,8.87044,2.19979,5.81283,3.0233,24.1511,7.87714,95.5611,31.0564,128.205,16.976,155.841,14.8238,155.701,13.756,151.094,11.985,148.193,11.2619,150.727,15.0694,150.412,10.6792,130.873,9.66173,124.232,9.93915,122.117,8.94127,125.182,10.5584,114.32,9.70318,118.318,8.06882,108.105,9.77242,105.449,11.748,107.725,10.6832,106.668,11.1577,107.233,9.21841
6,parenchyma 6,48,0.048,0.0413439,0.00341165,13.6154,3.17921,7.76286,3.13086,8.58521,4.36428,17.2449,5.34797,27.2479,12.8527,77.2336,16.9471,107.632,17.5977,126.124,14.2482,138.153,15.6088,134.213,13.2479,136.95,14.7787,135.368,12.8321,124.897,9.32163,127.185,12.3145,120.728,14.4034,123.236,13.9194,117.38,12.9856,124.272,11.8563,112.221,11.3757,109.774,11.4135,110.389,12.9713,106.339,12.752,100.584,10.2235
7,parenchyma 7,48,0.048,0.037866,0.00304589,12.6039,3.81137,6.96207,2.1437,9.86579,2.63535,12.3201,5.65349,18.7534,10.9701,68.2896,13.0333,89.9217,8.54286,99.2352,15.1711,112.208,18.8109,108.927,14.0866,120.123,14.3806,118.793,12.0285,114.585,14.3147,118.438,14.4545,117.036,14.9483,113.937,13.6303,116.008,13.1898,116.651,12.9588,112.27,8.6245,100.16,10.6159,114.706,11.8355,106.709,10.2313,110.691,12.1358
8,ipsilateral ventricle,20,0.02,0.162844,0.024988,11.8489,2.98124,14.7141,3.69231,13.4345,5.34718,12.964,4.27979,23.6238,7.92387,72.7839,12.9691,139.429,29.7144,174.439,30.4857,192.094,28.3812,198.849,34.935,202.267,34.8726,214.358,35.7705,209.611,34.9669,193.167,29.987,195.924,38.5536,187.083,27.4829,175.771,31.1149,168.985,28.4685,181.217,33.6462,158.049,29.1611,157.657,26.6206,156.645,27.7199,153.919,20.5743
9,SAS,7,0.007,0.10596,0.0201824,6.80846,2.21169,18.8258,6.48388,19.6289,2.25395,22.3476,8.5265,24.1086,6.88519,39.8998,5.76661,38.8983,7.06225,32.7653,7.09807,30.8565,7.57733,50.7005,11.7399,52.5287,8.23283,21.1882,3.62716,27.3145,4.5926,41.002,6.27425,38.8445,6.42817,45.6396,4.59463,36.472,7.5109,47.7332,6.92632,42.4706,5.99331,72.9305,15.2456,72.3391,10.1251,52.3674,5.67154,73.3036,11.9681
